id,num_telefono,calle,numero,comuna,region,capacidad
92,490304757,Christopher Meadow,4446,New Gregoryport,North Carolina,945
42,653464379,Jenkins Walks,4823,Castillochester,New Hampshire,678
102,987358397,Monte Ne,3412,Rogersfurt,Nebraska,702
26,681438047,Susan Inlet,960,West Jermaine,South Dakota,989
64,755957035,Pineda Village,3895,Clarkbury,Iowa,246
67,370978174,Douglas Locks,2880,Floresbury,Kentucky,779
59,679192917,Jake Ways,340,Nathanville,Missouri,930
0,704723613,Soto Lodge,1751,East Christopher,South Dakota,569
45,927508514,Savage Springs,2352,Port Christopher,New Jersey,897
15,559907968,Jerome Curve,2965,Sherryside,Idaho,972
45,927508514,Savage Springs,2352,Port Christopher,New Jersey,897
96,258377245,Watson Burg,352,Adamtown,Colorado,621
21,359295586,Justin Vista,1045,Wolfview,Alaska,871
56,971190320,Turner Fords,1451,North Kathleen,Oregon,942
75,696480112,Lam Tunnel,1832,Cooperville,Vermont,877
63,400183640,Barnes Vista,128,Lake Kenneth,Pennsylvania,489
81,252098651,Joseph View,2580,Krystalside,Georgia,958
35,747242140,Wilson Motorway,2671,Maryfort,Indiana,475
24,663834166,Bridget Union,779,West Robert,Massachusetts,219
72,683249665,Turner Common,898,Ortegamouth,Kentucky,937
83,894828087,Mcbride Rest,4341,North Larry,California,921
37,590040904,Evans Haven,4274,Port Sharon,Rhode Island,251
57,965526606,Daniel Freeway,629,Port Darleneland,Utah,844
52,869740822,Jennifer Park,762,Hollychester,Michigan,660
67,370978174,Douglas Locks,2880,Floresbury,Kentucky,779
55,803803309,Sandra Brook,1141,West April,Georgia,952
73,286008316,Bates Islands,1484,Laurenmouth,Hawaii,893
41,838194154,Jesse Mill,3206,West Jennyborough,Nevada,753
92,490304757,Christopher Meadow,4446,New Gregoryport,North Carolina,945
53,386560801,Blankenship Mission,3716,Jessicachester,Florida,586
59,679192917,Jake Ways,340,Nathanville,Missouri,930
66,106860683,Ware Crest,4665,Kimberlyshire,Iowa,356
2,401685478,Martin Estates,3601,Vegashire,New Mexico,903
54,292042022,John Glen,3243,Johnsonchester,Iowa,232
12,550246311,Nichols Expressway,3564,West Jeffreyborough,New Hampshire,873
93,959878200,Bethany Locks,1771,Dannyfurt,Virginia,703
