id_compra,fecha,producto,id_cliente,id_tienda,cantidad
140,29/05/2016,2613,966,96,2
511,09/04/2007,3726,404,5,8
308,08/12/2002,2905,385,38,3
400,26/01/2021,1744,198,41,1
94,20/01/2020,79,206,28,6
6,05/08/2018,1381,683,10,8
187,25/11/2021,195,262,56,3
204,06/01/2001,2560,144,68,3
519,09/09/2015,3723,968,48,6
268,16/12/2015,1816,778,86,8
124,12/04/2012,594,415,2,4
52,07/09/2014,1892,711,63,4
39,10/01/2019,426,998,17,2
77,22/08/2010,1005,393,8,3
1,15/04/2021,3550,713,98,1
60,28/01/2013,3060,880,14,5
15,01/10/2009,2498,356,43,2
481,20/07/2012,52,677,14,8
448,05/04/2011,2833,79,38,8
80,07/02/2006,625,261,95,3
329,21/10/2005,2783,33,16,1
97,08/04/2017,2747,248,3,2
311,01/03/2010,526,81,70,2
517,30/01/2000,3706,722,37,2
35,03/05/2010,1243,155,58,5
141,03/10/2021,1626,865,45,4
287,17/01/2010,3640,520,42,7
251,24/11/2021,393,850,102,5
68,09/12/2016,3399,771,34,7
181,10/11/2005,624,848,6,8
16,01/12/2014,3515,970,18,8
459,27/01/2013,1415,235,90,1
404,15/04/2010,887,345,31,3
451,21/06/2011,2532,850,10,1
247,21/05/2019,3242,988,95,2
324,04/12/2007,2150,576,88,3
50,04/06/2018,3027,530,92,8
62,08/05/2012,1859,129,90,8
194,28/04/2014,2187,112,5,6
428,21/07/2001,2285,799,77,4
63,21/03/2013,2404,973,86,2
286,29/10/2008,1168,124,49,6
175,30/06/2014,2688,235,31,6
13,24/05/2019,3079,458,47,4
456,25/06/2011,3214,169,40,8
33,05/10/2005,2064,122,89,6
325,06/10/2005,1756,208,5,1
301,18/01/2002,729,743,45,2
83,07/03/2019,1064,175,43,4
418,23/04/2004,2171,659,101,8
330,30/04/2020,2980,334,76,1
340,25/02/2002,3471,167,96,5
449,24/09/2006,3239,699,12,2
408,08/07/2014,2917,503,27,3
12,09/01/2006,3479,497,66,6
50,04/06/2018,2217,530,92,3
271,27/08/2010,2590,549,28,7
200,12/02/2019,1441,391,45,6
57,01/10/2017,389,374,89,3
412,26/06/2019,2667,281,0,5
267,20/03/2011,2453,106,24,6
351,14/10/2013,559,273,81,1
90,11/11/2000,1685,265,26,4
361,25/02/2017,1276,224,70,1
306,18/04/2010,109,651,14,8
46,30/04/2017,302,795,75,8
389,24/01/2017,708,485,91,6
0,14/10/2003,3336,539,48,4
248,30/01/2021,3599,789,12,5
49,11/03/2000,1986,954,50,4
100,16/05/2011,600,505,20,7
310,08/03/2017,3131,5,24,6
518,01/06/2006,3704,902,54,6
9,03/07/2000,206,298,59,7
26,09/11/2016,254,855,90,5
5,04/07/2003,2400,650,11,5
172,07/01/2021,2732,119,28,4
13,24/05/2019,3565,458,47,7
